support,itemsets
0.21333333333333335,"frozenset({'mortgage_NO', 'pep_YES', 'children_(-0.0, 1.0]'})"
0.23833333333333334,"frozenset({'mortgage_NO', 'pep_YES', 'current_act_YES'})"
0.23333333333333334,"frozenset({'pep_YES', 'save_act_YES', 'current_act_YES'})"
0.21333333333333335,"frozenset({'mortgage_NO', 'pep_YES', 'save_act_YES'})"
0.205,"frozenset({'pep_YES', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.31,"frozenset({'children_(-0.0, 1.0]', 'region_INNER_CITY'})"
0.2916666666666667,"frozenset({'mortgage_NO', 'region_INNER_CITY'})"
0.23166666666666666,"frozenset({'car_NO', 'region_INNER_CITY'})"
0.22666666666666666,"frozenset({'income_(4956.0, 24386.0]', 'region_INNER_CITY'})"
0.21833333333333332,"frozenset({'sex_FEMALE', 'region_INNER_CITY'})"
0.205,"frozenset({'pep_YES', 'region_INNER_CITY'})"
0.3416666666666667,"frozenset({'current_act_YES', 'region_INNER_CITY'})"
0.2966666666666667,"frozenset({'married_YES', 'region_INNER_CITY'})"
0.28833333333333333,"frozenset({'save_act_YES', 'region_INNER_CITY'})"
0.24333333333333335,"frozenset({'pep_NO', 'region_INNER_CITY'})"
0.21666666666666667,"frozenset({'car_YES', 'region_INNER_CITY'})"
0.23,"frozenset({'sex_MALE', 'region_INNER_CITY'})"
0.23166666666666666,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]', 'region_INNER_CITY'})"
0.22666666666666666,"frozenset({'mortgage_NO', 'current_act_YES', 'region_INNER_CITY'})"
0.22666666666666666,"frozenset({'married_YES', 'current_act_YES', 'region_INNER_CITY'})"
0.20833333333333334,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'region_INNER_CITY'})"
0.22666666666666666,"frozenset({'current_act_YES', 'save_act_YES', 'region_INNER_CITY'})"
0.2,"frozenset({'married_YES', 'save_act_YES', 'region_INNER_CITY'})"
0.25333333333333335,"frozenset({'age_(34.0, 51.0]', 'children_(-0.0, 1.0]'})"
0.23,"frozenset({'age_(34.0, 51.0]', 'mortgage_NO'})"
0.2633333333333333,"frozenset({'age_(34.0, 51.0]', 'current_act_YES'})"
0.23333333333333334,"frozenset({'age_(34.0, 51.0]', 'married_YES'})"
0.205,"frozenset({'age_(34.0, 51.0]', 'income_(24386.0, 43758.0]'})"
0.24,"frozenset({'age_(34.0, 51.0]', 'save_act_YES'})"
0.21666666666666667,"frozenset({'married_NO', 'mortgage_NO'})"
0.215,"frozenset({'married_NO', 'children_(-0.0, 1.0]'})"
0.2,"frozenset({'married_NO', 'pep_YES'})"
0.27,"frozenset({'married_NO', 'current_act_YES'})"
0.22833333333333333,"frozenset({'married_NO', 'save_act_YES'})"
0.215,"frozenset({'save_act_NO', 'children_(-0.0, 1.0]'})"
0.20166666666666666,"frozenset({'save_act_NO', 'mortgage_NO'})"
0.22666666666666666,"frozenset({'save_act_NO', 'current_act_YES'})"
0.48833333333333334,"frozenset({'married_YES', 'current_act_YES'})"
0.46166666666666667,"frozenset({'married_YES', 'save_act_YES'})"
0.4483333333333333,"frozenset({'married_YES', 'children_(-0.0, 1.0]'})"
0.3433333333333333,"frozenset({'married_YES', 'current_act_YES', 'save_act_YES'})"
0.33,"frozenset({'married_YES', 'current_act_YES', 'children_(-0.0, 1.0]'})"
0.30666666666666664,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.225,"frozenset({'married_YES', 'current_act_YES', 'children_(-0.0, 1.0]', 'save_act_YES'})"
0.4066666666666667,"frozenset({'current_act_YES', 'pep_NO'})"
0.4033333333333333,"frozenset({'married_YES', 'pep_NO'})"
0.39166666666666666,"frozenset({'save_act_YES', 'pep_NO'})"
0.34833333333333333,"frozenset({'mortgage_NO', 'pep_NO'})"
0.32,"frozenset({'children_(-0.0, 1.0]', 'pep_NO'})"
0.295,"frozenset({'married_YES', 'current_act_YES', 'pep_NO'})"
0.29833333333333334,"frozenset({'current_act_YES', 'save_act_YES', 'pep_NO'})"
0.2916666666666667,"frozenset({'married_YES', 'save_act_YES', 'pep_NO'})"
0.21666666666666667,"frozenset({'married_YES', 'current_act_YES', 'save_act_YES', 'pep_NO'})"
0.285,"frozenset({'married_YES', 'pep_NO', 'mortgage_NO'})"
0.2633333333333333,"frozenset({'mortgage_NO', 'current_act_YES', 'pep_NO'})"
0.23666666666666666,"frozenset({'mortgage_NO', 'save_act_YES', 'pep_NO'})"
0.215,"frozenset({'married_YES', 'current_act_YES', 'pep_NO', 'mortgage_NO'})"
0.2,"frozenset({'married_YES', 'save_act_YES', 'pep_NO', 'mortgage_NO'})"
0.26,"frozenset({'married_YES', 'children_(-0.0, 1.0]', 'pep_NO'})"
0.24333333333333335,"frozenset({'children_(-0.0, 1.0]', 'save_act_YES', 'pep_NO'})"
0.24,"frozenset({'current_act_YES', 'children_(-0.0, 1.0]', 'pep_NO'})"
0.2,"frozenset({'mortgage_NO', 'children_(-0.0, 1.0]', 'pep_NO'})"
0.375,"frozenset({'current_act_YES', 'sex_MALE'})"
0.335,"frozenset({'married_YES', 'sex_MALE'})"
0.26,"frozenset({'sex_MALE', 'pep_NO'})"
0.3333333333333333,"frozenset({'sex_MALE', 'children_(-0.0, 1.0]'})"
0.31,"frozenset({'mortgage_NO', 'sex_MALE'})"
0.25166666666666665,"frozenset({'car_NO', 'sex_MALE'})"
0.3466666666666667,"frozenset({'sex_MALE', 'save_act_YES'})"
0.245,"frozenset({'married_YES', 'current_act_YES', 'sex_MALE'})"
0.23333333333333334,"frozenset({'married_YES', 'sex_MALE', 'save_act_YES'})"
